Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
09/08/2023,ALUMINI      ,29SEP2023,200.7,201.05,199.7,200.05,201.45,1321,1321.000 KGS  ,2646.29,2243,08 Sep 2023,FUTCOM,0,-
09/08/2023,ALUMINI      ,31OCT2023,202,202.2,201.55,201.7,202.85,160,160.000 KGS  ,323.05,249,08 Sep 2023,FUTCOM,0,-
09/08/2023,ALUMINI      ,30NOV2023,0,0,0,203.2,204.15,0,0.000 KGS  ,0,0,08 Sep 2023,FUTCOM,0,-
09/08/2023,ALUMINI      ,29DEC2023,0,0,0,204.7,205.4,0,0.000 KGS  ,0,0,08 Sep 2023,FUTCOM,0,-
09/08/2023,ALUMINIUM    ,29SEP2023,200.5,200.5,199.4,199.85,201.25,1238,6190.000 KGS  ,12380.82,4251,08 Sep 2023,FUTCOM,0,-
09/08/2023,ALUMINIUM    ,31OCT2023,201.8,202.1,201.3,201.65,202.75,179,895.000 KGS  ,1805.42,441,08 Sep 2023,FUTCOM,0,-
09/08/2023,ALUMINIUM    ,30NOV2023,0,0,0,203.3,204.15,0,0.000 KGS  ,0,0,08 Sep 2023,FUTCOM,0,-
09/08/2023,ALUMINIUM    ,29DEC2023,0,0,0,204.95,205.5,0,0.000 KGS  ,0,0,08 Sep 2023,FUTCOM,0,-
09/08/2023,COPPER       ,20SEP2023,0,0,0,47.93,47.93,0,0.000 KGS  ,0,0,08 Sep 2023,OPTFUT,680,CE
09/08/2023,COPPER       ,20SEP2023,0,0,0,0.01,0.01,0,0.000 KGS  ,0,0,08 Sep 2023,OPTFUT,680,PE
09/08/2023,COPPER       ,20SEP2023,0,0,0,42.95,42.95,0,0.000 KGS  ,0,0,08 Sep 2023,OPTFUT,685,CE
09/08/2023,COPPER       ,20SEP2023,0,0,0,0.01,0.01,0,0.000 KGS  ,0,0,08 Sep 2023,OPTFUT,685,PE
09/08/2023,COPPER       ,20SEP2023,0,0,0,37.97,37.97,0,0.000 KGS  ,0,0,08 Sep 2023,OPTFUT,690,CE
09/08/2023,COPPER       ,20SEP2023,0,0,0,0.02,0.02,0,0.000 KGS  ,0,0,08 Sep 2023,OPTFUT,690,PE
09/08/2023,COPPER       ,20SEP2023,0,0,0,33.02,33.02,0,0.000 KGS  ,0,0,08 Sep 2023,OPTFUT,695,CE
